StockCode,Description,Revenue,Units_Sold,Avg_Unit_Price
21031,SPACE CADET BLACK,64.24,52,1.2942105263157895
21032,SPACE CADET WHITE,117.78,97,1.3816666666666668
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4851.73,1932,3.2029
21034,REX CASH+CARRY JUMBO SHOPPER,1784.1,1878,0.95
21035,SET/2 RED RETROSPOT TEA TOWELS,8536.85,2599,4.550554156171285
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,86.75,77,1.1656521739130437
21039,RED RETROSPOT SHOPPING BAG,1353.69,523,3.0876666666666663
21040,MODERN VINTAGE COTTON SHOPPING BAG,29.7,22,1.67
21041,RED RETROSPOT OVEN GLOVE DOUBLE,3888.98,914,4.408677042801556
21042,RED RETROSPOT APRON,2199.52,334,7.234477611940299
21043,APRON MODERN VINTAGE COTTON,1139.86,492,2.9795555555555553
21051,RIBBONS PURSE,377.2,192,2.0466666666666664
21054,NURSE'S BAG SOFT TOY,634.53,70,9.226896551724137
21055,TOOL BOX SOFT TOY,1764.6399999999999,178,10.455428571428572
21056,DOCTOR'S BAG SOFT TOY,1765.3999999999999,184,10.123333333333333
21058,PARTY INVITES WOODLAND,965.66,1154,0.9721774193548387
21059,PARTY INVITES DINOSAURS,528.23,611,0.9231914893617021
21060,PARTY INVITES BALLOON GIRL,359.28999999999996,405,0.946619718309859
21061,PARTY INVITES FOOTBALL,451.7,488,1.0548192771084337
21062,PARTY INVITES SPACEMAN,457.38,538,0.8575675675675676
21063,PARTY INVITES JAZZ HEARTS,458.31,528,0.9322549019607843
21064,BOOM BOX SPEAKER BOYS,1281.2,296,4.858349514563107
21065,BOOM BOX SPEAKER GIRLS,1160.58,562,4.37054347826087
21066,VINTAGE RED MUG,693.47,702,1.533148148148148
21067,VINTAGE RED TEATIME MUG,504.15,317,1.7896103896103894
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1890.33,1638,1.669396984924623
21069,VINTAGE BILLBOARD TEA MUG,2250.52,1949,1.7434883720930232
21070,VINTAGE BILLBOARD MUG,1184.98,1106,1.6324074074074075
21071,VINTAGE BILLBOARD DRINK ME MUG,1380.28,991,1.71072625698324
21078,SET/20 STRAWBERRY PAPER NAPKINS,2531.04,2769,1.2559047619047619
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13202,1.0935721393034825
21082,SET/20 FRUIT SALAD PAPER NAPKINS,143.44,88,1.63
21084,SET/6 COLLAGE PAPER CUPS,773.14,2610,0.5010869565217392
21086,SET/6 RED SPOTTY PAPER CUPS,4851.5,7121,0.9603908045977011
21087,SET/6 POSIES PAPER CUPS,74.57000000000001,141,0.6025
21088,SET/6 FRUIT SALAD PAPER CUPS,428.28000000000003,1678,0.41398058252427183
21089,SET/6 GREEN SPRING PAPER CUPS,48.989999999999995,233,0.2844
21090,SET/6 COLLAGE PAPER PLATES,1274.19,2413,0.638211009174312
21094,SET/6 RED SPOTTY PAPER PLATES,6933.259999999999,8758,0.9860338345864661
21095,SET/6 POSIES PAPER PLATES,118.72999999999999,125,0.9614285714285714
21096,SET/6 FRUIT SALAD  PAPER PLATES,581.09,1259,0.5745714285714285
21098,CHRISTMAS TOILET ROLL,5078.76,3719,1.6951538461538462
21100,CHARLIE AND LOLA CHARLOTTE BAG,162.20999999999998,65,3.4099999999999997
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,702.5100000000001,237,3.8114814814814815
21107,CREAM SLICE FLANNEL PINK SPOT,2492.71,901,3.8324489795918364
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.280000000002,10241,2.3184790874524714
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,2661.67,925,5.374259259259259
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",101.53,11,10.16
